date,realtime_start,realtime_end,Close
2024-08-02,2025-08-02,2025-08-02,16776.16
2024-08-05,2025-08-02,2025-08-02,16200.08
2024-08-06,2025-08-02,2025-08-02,16366.85
2024-08-07,2025-08-02,2025-08-02,16195.81
2024-08-08,2025-08-02,2025-08-02,16660.02
2024-08-09,2025-08-02,2025-08-02,16745.3
2024-08-12,2025-08-02,2025-08-02,16780.61
2024-08-13,2025-08-02,2025-08-02,17187.61
2024-08-14,2025-08-02,2025-08-02,17192.6
2024-08-15,2025-08-02,2025-08-02,17594.5
2024-08-16,2025-08-02,2025-08-02,17631.72
2024-08-19,2025-08-02,2025-08-02,17876.77
2024-08-20,2025-08-02,2025-08-02,17816.94
2024-08-21,2025-08-02,2025-08-02,17918.99
2024-08-22,2025-08-02,2025-08-02,17619.35
2024-08-23,2025-08-02,2025-08-02,17877.79
2024-08-26,2025-08-02,2025-08-02,17725.76
2024-08-27,2025-08-02,2025-08-02,17754.82
2024-08-28,2025-08-02,2025-08-02,17556.03
2024-08-29,2025-08-02,2025-08-02,17516.43
2024-08-30,2025-08-02,2025-08-02,17713.62
2024-09-03,2025-08-02,2025-08-02,17136.3
2024-09-04,2025-08-02,2025-08-02,17084.3
2024-09-05,2025-08-02,2025-08-02,17127.66
2024-09-06,2025-08-02,2025-08-02,16690.83
2024-09-09,2025-08-02,2025-08-02,16884.6
2024-09-10,2025-08-02,2025-08-02,17025.88
2024-09-11,2025-08-02,2025-08-02,17395.53
2024-09-12,2025-08-02,2025-08-02,17569.68
2024-09-13,2025-08-02,2025-08-02,17683.98
2024-09-16,2025-08-02,2025-08-02,17592.13
2024-09-17,2025-08-02,2025-08-02,17628.06
2024-09-18,2025-08-02,2025-08-02,17573.3
2024-09-19,2025-08-02,2025-08-02,18013.98
2024-09-20,2025-08-02,2025-08-02,17948.32
2024-09-23,2025-08-02,2025-08-02,17974.27
2024-09-24,2025-08-02,2025-08-02,18074.52
2024-09-25,2025-08-02,2025-08-02,18082.21
2024-09-26,2025-08-02,2025-08-02,18190.29
2024-09-27,2025-08-02,2025-08-02,18119.59
2024-09-30,2025-08-02,2025-08-02,18189.17
2024-10-01,2025-08-02,2025-08-02,17910.36
2024-10-02,2025-08-02,2025-08-02,17925.12
2024-10-03,2025-08-02,2025-08-02,17918.48
2024-10-04,2025-08-02,2025-08-02,18137.85
2024-10-07,2025-08-02,2025-08-02,17923.9
2024-10-08,2025-08-02,2025-08-02,18182.92
2024-10-09,2025-08-02,2025-08-02,18291.62
2024-10-10,2025-08-02,2025-08-02,18282.05
2024-10-11,2025-08-02,2025-08-02,18342.94
2024-10-14,2025-08-02,2025-08-02,18502.69
2024-10-15,2025-08-02,2025-08-02,18315.59
2024-10-16,2025-08-02,2025-08-02,18367.08
2024-10-17,2025-08-02,2025-08-02,18373.61
2024-10-18,2025-08-02,2025-08-02,18489.55
2024-10-21,2025-08-02,2025-08-02,18540.0
2024-10-22,2025-08-02,2025-08-02,18573.13
2024-10-23,2025-08-02,2025-08-02,18276.65
2024-10-24,2025-08-02,2025-08-02,18415.49
2024-10-25,2025-08-02,2025-08-02,18518.61
2024-10-28,2025-08-02,2025-08-02,18567.19
2024-10-29,2025-08-02,2025-08-02,18712.75
2024-10-30,2025-08-02,2025-08-02,18607.93
2024-10-31,2025-08-02,2025-08-02,18095.15
2024-11-01,2025-08-02,2025-08-02,18239.92
2024-11-04,2025-08-02,2025-08-02,18179.98
2024-11-05,2025-08-02,2025-08-02,18439.17
2024-11-06,2025-08-02,2025-08-02,18983.47
2024-11-07,2025-08-02,2025-08-02,19269.46
2024-11-08,2025-08-02,2025-08-02,19286.78
2024-11-11,2025-08-02,2025-08-02,19298.76
2024-11-12,2025-08-02,2025-08-02,19281.4
2024-11-13,2025-08-02,2025-08-02,19230.73
2024-11-14,2025-08-02,2025-08-02,19107.65
2024-11-15,2025-08-02,2025-08-02,18680.12
2024-11-18,2025-08-02,2025-08-02,18791.81
2024-11-19,2025-08-02,2025-08-02,18987.47
2024-11-20,2025-08-02,2025-08-02,18966.14
2024-11-21,2025-08-02,2025-08-02,18972.42
2024-11-22,2025-08-02,2025-08-02,19003.65
2024-11-25,2025-08-02,2025-08-02,19054.84
2024-11-26,2025-08-02,2025-08-02,19175.58
2024-11-27,2025-08-02,2025-08-02,19060.48
2024-11-29,2025-08-02,2025-08-02,19218.17
2024-12-02,2025-08-02,2025-08-02,19403.95
2024-12-03,2025-08-02,2025-08-02,19480.91
2024-12-04,2025-08-02,2025-08-02,19735.12
2024-12-05,2025-08-02,2025-08-02,19700.72
2024-12-06,2025-08-02,2025-08-02,19859.77
2024-12-09,2025-08-02,2025-08-02,19736.69
2024-12-10,2025-08-02,2025-08-02,19687.24
2024-12-11,2025-08-02,2025-08-02,20034.89
2024-12-12,2025-08-02,2025-08-02,19902.84
2024-12-13,2025-08-02,2025-08-02,19926.72
2024-12-16,2025-08-02,2025-08-02,20173.89
2024-12-17,2025-08-02,2025-08-02,20109.06
2024-12-18,2025-08-02,2025-08-02,19392.69
2024-12-19,2025-08-02,2025-08-02,19372.77
2024-12-20,2025-08-02,2025-08-02,19572.6
2024-12-23,2025-08-02,2025-08-02,19764.89
2024-12-24,2025-08-02,2025-08-02,20031.13
2024-12-26,2025-08-02,2025-08-02,20020.36
2024-12-27,2025-08-02,2025-08-02,19722.03
2024-12-30,2025-08-02,2025-08-02,19486.78
2024-12-31,2025-08-02,2025-08-02,19310.79
2025-01-02,2025-08-02,2025-08-02,19280.79
2025-01-03,2025-08-02,2025-08-02,19621.68
2025-01-06,2025-08-02,2025-08-02,19864.98
2025-01-07,2025-08-02,2025-08-02,19489.68
2025-01-08,2025-08-02,2025-08-02,19478.88
2025-01-10,2025-08-02,2025-08-02,19161.63
2025-01-13,2025-08-02,2025-08-02,19088.1
2025-01-14,2025-08-02,2025-08-02,19044.39
2025-01-15,2025-08-02,2025-08-02,19511.23
2025-01-16,2025-08-02,2025-08-02,19338.29
2025-01-17,2025-08-02,2025-08-02,19630.2
2025-01-21,2025-08-02,2025-08-02,19756.78
2025-01-22,2025-08-02,2025-08-02,20009.34
2025-01-23,2025-08-02,2025-08-02,20053.68
2025-01-24,2025-08-02,2025-08-02,19954.3
2025-01-27,2025-08-02,2025-08-02,19341.83
2025-01-28,2025-08-02,2025-08-02,19733.59
2025-01-29,2025-08-02,2025-08-02,19632.32
2025-01-30,2025-08-02,2025-08-02,19681.75
2025-01-31,2025-08-02,2025-08-02,19627.44
2025-02-03,2025-08-02,2025-08-02,19391.96
2025-02-04,2025-08-02,2025-08-02,19654.02
2025-02-05,2025-08-02,2025-08-02,19692.33
2025-02-06,2025-08-02,2025-08-02,19791.99
2025-02-07,2025-08-02,2025-08-02,19523.4
2025-02-10,2025-08-02,2025-08-02,19714.27
2025-02-11,2025-08-02,2025-08-02,19643.86
2025-02-12,2025-08-02,2025-08-02,19649.95
2025-02-13,2025-08-02,2025-08-02,19945.64
2025-02-14,2025-08-02,2025-08-02,20026.77
2025-02-18,2025-08-02,2025-08-02,20041.26
2025-02-19,2025-08-02,2025-08-02,20056.25
2025-02-20,2025-08-02,2025-08-02,19962.36
2025-02-21,2025-08-02,2025-08-02,19524.01
2025-02-24,2025-08-02,2025-08-02,19286.92
2025-02-25,2025-08-02,2025-08-02,19026.39
2025-02-26,2025-08-02,2025-08-02,19075.26
2025-02-27,2025-08-02,2025-08-02,18544.42
2025-02-28,2025-08-02,2025-08-02,18847.28
2025-03-03,2025-08-02,2025-08-02,18350.19
2025-03-04,2025-08-02,2025-08-02,18285.16
2025-03-05,2025-08-02,2025-08-02,18552.73
2025-03-06,2025-08-02,2025-08-02,18069.26
2025-03-07,2025-08-02,2025-08-02,18196.22
2025-03-10,2025-08-02,2025-08-02,17468.32
2025-03-11,2025-08-02,2025-08-02,17436.1
2025-03-12,2025-08-02,2025-08-02,17648.45
2025-03-13,2025-08-02,2025-08-02,17303.01
2025-03-14,2025-08-02,2025-08-02,17754.09
2025-03-17,2025-08-02,2025-08-02,17808.66
2025-03-18,2025-08-02,2025-08-02,17504.12
2025-03-19,2025-08-02,2025-08-02,17750.79
2025-03-20,2025-08-02,2025-08-02,17691.63
2025-03-21,2025-08-02,2025-08-02,17784.05
2025-03-24,2025-08-02,2025-08-02,18188.59
2025-03-25,2025-08-02,2025-08-02,18271.86
2025-03-26,2025-08-02,2025-08-02,17899.01
2025-03-27,2025-08-02,2025-08-02,17804.03
2025-03-28,2025-08-02,2025-08-02,17322.99
2025-03-31,2025-08-02,2025-08-02,17299.29
2025-04-01,2025-08-02,2025-08-02,17449.89
2025-04-02,2025-08-02,2025-08-02,17601.05
2025-04-03,2025-08-02,2025-08-02,16550.61
2025-04-04,2025-08-02,2025-08-02,15587.79
2025-04-07,2025-08-02,2025-08-02,15603.26
2025-04-08,2025-08-02,2025-08-02,15267.91
2025-04-09,2025-08-02,2025-08-02,17124.97
2025-04-10,2025-08-02,2025-08-02,16387.31
2025-04-11,2025-08-02,2025-08-02,16724.46
2025-04-14,2025-08-02,2025-08-02,16831.48
2025-04-15,2025-08-02,2025-08-02,16823.17
2025-04-16,2025-08-02,2025-08-02,16307.16
2025-04-17,2025-08-02,2025-08-02,16286.45
2025-04-21,2025-08-02,2025-08-02,15870.9
2025-04-22,2025-08-02,2025-08-02,16300.42
2025-04-23,2025-08-02,2025-08-02,16708.05
2025-04-24,2025-08-02,2025-08-02,17166.04
2025-04-25,2025-08-02,2025-08-02,17382.94
2025-04-28,2025-08-02,2025-08-02,17366.13
2025-04-29,2025-08-02,2025-08-02,17461.32
2025-04-30,2025-08-02,2025-08-02,17446.34
2025-05-01,2025-08-02,2025-08-02,17710.74
2025-05-02,2025-08-02,2025-08-02,17977.73
2025-05-05,2025-08-02,2025-08-02,17844.24
2025-05-06,2025-08-02,2025-08-02,17689.66
2025-05-07,2025-08-02,2025-08-02,17738.16
2025-05-08,2025-08-02,2025-08-02,17928.14
2025-05-09,2025-08-02,2025-08-02,17928.92
2025-05-12,2025-08-02,2025-08-02,18708.34
2025-05-13,2025-08-02,2025-08-02,19010.08
2025-05-14,2025-08-02,2025-08-02,19146.81
2025-05-15,2025-08-02,2025-08-02,19112.32
2025-05-16,2025-08-02,2025-08-02,19211.1
2025-05-19,2025-08-02,2025-08-02,19215.46
2025-05-20,2025-08-02,2025-08-02,19142.71
2025-05-21,2025-08-02,2025-08-02,18872.64
2025-05-22,2025-08-02,2025-08-02,18925.73
2025-05-23,2025-08-02,2025-08-02,18737.21
2025-05-27,2025-08-02,2025-08-02,19199.16
2025-05-28,2025-08-02,2025-08-02,19100.94
2025-05-29,2025-08-02,2025-08-02,19175.87
2025-05-30,2025-08-02,2025-08-02,19113.77
2025-06-02,2025-08-02,2025-08-02,19242.61
2025-06-03,2025-08-02,2025-08-02,19398.96
2025-06-04,2025-08-02,2025-08-02,19460.49
2025-06-05,2025-08-02,2025-08-02,19298.45
2025-06-06,2025-08-02,2025-08-02,19529.95
2025-06-09,2025-08-02,2025-08-02,19591.24
2025-06-10,2025-08-02,2025-08-02,19714.99
2025-06-11,2025-08-02,2025-08-02,19615.88
2025-06-12,2025-08-02,2025-08-02,19662.48
2025-06-13,2025-08-02,2025-08-02,19406.83
2025-06-16,2025-08-02,2025-08-02,19701.21
2025-06-17,2025-08-02,2025-08-02,19521.09
2025-06-18,2025-08-02,2025-08-02,19546.27
2025-06-20,2025-08-02,2025-08-02,19447.41
2025-06-23,2025-08-02,2025-08-02,19630.97
2025-06-24,2025-08-02,2025-08-02,19912.53
2025-06-25,2025-08-02,2025-08-02,19973.55
2025-06-26,2025-08-02,2025-08-02,20167.91
2025-06-27,2025-08-02,2025-08-02,20273.46
2025-06-30,2025-08-02,2025-08-02,20369.73
2025-07-01,2025-08-02,2025-08-02,20202.89
2025-07-02,2025-08-02,2025-08-02,20393.13
2025-07-03,2025-08-02,2025-08-02,20601.1
2025-07-07,2025-08-02,2025-08-02,20412.52
2025-07-08,2025-08-02,2025-08-02,20418.46
2025-07-09,2025-08-02,2025-08-02,20611.34
2025-07-10,2025-08-02,2025-08-02,20630.66
2025-07-11,2025-08-02,2025-08-02,20585.53
2025-07-14,2025-08-02,2025-08-02,20640.33
2025-07-15,2025-08-02,2025-08-02,20677.8
2025-07-16,2025-08-02,2025-08-02,20730.49
2025-07-17,2025-08-02,2025-08-02,20885.65
2025-07-18,2025-08-02,2025-08-02,20895.66
2025-07-21,2025-08-02,2025-08-02,20974.17
2025-07-22,2025-08-02,2025-08-02,20892.68
2025-07-23,2025-08-02,2025-08-02,21020.02
2025-07-24,2025-08-02,2025-08-02,21057.96
2025-07-25,2025-08-02,2025-08-02,21108.32
2025-07-28,2025-08-02,2025-08-02,21178.58
2025-07-29,2025-08-02,2025-08-02,21098.29
2025-07-30,2025-08-02,2025-08-02,21129.67
2025-07-31,2025-08-02,2025-08-02,21122.45
2025-08-01,2025-08-02,2025-08-02,20650.13
